LGA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
LGA13310,..,3208,3208,3619,230,3851,1544,27,1569,1331,4,1339,628,8,632,339,7,343,7467,3479,10945
LGA13340,..,948,948,1321,56,1381,444,7,455,487,0,487,281,0,281,147,0,147,2685,1009,3699
LGA13450,..,2027,2027,2604,187,2793,1182,42,1222,1339,18,1361,723,11,735,338,10,351,6186,2295,8487
LGA13510,..,1333,1333,1626,87,1714,502,4,511,442,0,446,240,0,246,115,0,115,2934,1425,4358
LGA13550,..,1277,1277,1469,92,1556,645,19,659,610,3,606,279,3,281,142,0,142,3141,1390,4527
LGA13660,..,590,590,757,44,799,225,3,228,194,0,200,125,0,125,46,0,46,1351,637,1987
LGA13800,..,4389,4389,6081,410,6497,3602,69,3671,3748,24,3776,1909,5,1920,1065,0,1061,16405,4903,21307
LGA13850,..,346,346,398,19,412,138,0,138,104,0,109,66,0,66,25,0,25,732,368,1097
LGA13910,..,2134,2134,2475,164,2637,855,16,872,792,3,795,428,0,428,215,0,215,4759,2315,7075
LGA14000,..,8167,8167,12564,676,13243,8601,151,8753,10646,59,10702,4273,18,4294,1843,4,1852,37931,9084,47010
LGA14100,..,1110,1110,1288,73,1363,677,10,689,848,3,852,415,0,421,137,0,137,3374,1201,4573
LGA14170,..,18946,18946,19651,3831,23476,10452,1628,12082,9375,645,10020,2839,195,3035,1138,98,1238,43456,25349,68796
LGA14200,..,1728,1728,2142,145,2282,814,11,824,702,4,707,381,4,381,188,0,188,4223,1895,6113
LGA14300,..,527,527,632,33,668,271,3,276,229,3,232,142,0,143,73,4,72,1343,576,1922
LGA14350,..,3111,3111,3758,282,4042,1444,29,1474,1078,13,1092,556,3,562,367,3,370,7205,3445,10651
LGA14400,..,1665,1665,2904,158,3065,1072,21,1090,1145,5,1153,537,3,541,206,0,206,5865,1854,7719
LGA14500,..,6152,6152,10776,418,11199,6623,94,6715,9067,48,9115,3883,23,3901,1379,11,1389,31725,6746,38476
LGA14550,..,1142,1142,1275,103,1382,416,9,425,312,0,310,186,0,186,88,0,88,2274,1249,3525
LGA14600,..,644,644,743,29,770,287,8,293,259,0,260,157,0,157,80,0,80,1522,679,2206
LGA14650,..,17610,17610,24415,1479,25894,11307,210,11515,11486,55,11541,4571,7,4579,1916,13,1935,53698,19374,73075
LGA14700,..,3407,3407,4089,467,4554,2162,100,2265,2186,33,2213,823,9,833,257,0,255,9512,4023,13534
LGA14750,..,1092,1092,1275,74,1349,521,15,534,494,4,496,268,0,268,126,0,126,2690,1184,3868
LGA14850,..,4754,4754,5118,625,5740,2270,101,2368,1946,36,1978,918,9,929,425,3,427,10672,5522,16195
LGA14870,..,2561,2561,2567,174,2742,1038,7,1044,931,3,929,394,0,398,186,0,186,5114,2745,7862
LGA14900,..,9208,9208,12559,821,13382,10765,136,10904,12945,41,12991,7119,20,7137,5161,11,5173,48556,10233,58786
LGA14920,..,875,875,1017,71,1092,364,3,364,336,0,334,171,0,171,72,0,72,1954,956,2916
LGA14950,..,313,313,407,13,425,120,3,120,150,0,150,74,0,74,41,0,41,797,333,1129
LGA15050,..,5948,5948,8684,559,9242,4524,83,4605,4621,13,4632,2013,4,2018,922,0,921,20758,6613,27374
LGA15240,..,10798,10798,14210,920,15130,4289,79,4368,3481,21,3503,1606,5,1611,822,0,823,24408,11824,36233
LGA15270,..,2531,2531,2907,217,3121,1192,27,1218,1103,7,1106,546,5,548,242,0,242,5993,2780,8768
LGA15300,..,1339,1339,1381,118,1497,668,12,681,563,0,563,294,0,294,174,0,174,3077,1464,4545
LGA15350,..,3242,3242,3448,275,3729,1548,42,1591,1621,4,1625,671,0,671,169,0,169,7458,3567,11022
LGA15520,..,1292,1292,1756,77,1841,487,5,494,488,3,489,257,0,257,95,0,95,3088,1382,4470
LGA15560,..,381,381,446,27,478,191,4,192,155,0,155,96,0,96,48,0,48,941,415,1361
LGA15650,..,1543,1543,1772,159,1930,883,18,901,830,7,836,381,0,381,166,0,166,4038,1722,5764
LGA15700,..,2450,2450,2774,220,3001,891,20,913,716,6,722,386,0,391,205,0,205,4981,2700,7684
LGA15750,..,1277,1277,1527,120,1648,601,9,611,600,3,606,329,0,325,154,0,154,3211,1409,4625
