LGA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
LGA18020,1572,9,0,20,25,1631,787,5,3,3,14,809,201,6,33,3,3,249,84,0,10,0,0,86,329,0,14,3,7,353,11,13,0,0,0,28,106,3,5,5,3,132,62,0,3,0,0,62,788,24,70,13,10,907,44,0,0,3,0,46,111,6,3,3,4,123,3299,50,78,45,55,3517
LGA18050,2008,1625,2541,81,35,6285,1506,1885,2556,32,23,6012,330,778,7596,156,19,8883,4,6,387,0,0,399,151,293,1760,52,16,2266,3,14,85,0,0,104,6,9,87,4,0,113,26,19,105,3,0,152,519,1123,10023,218,39,11920,25,22,122,0,20,181,102,123,518,6,15,763,4160,4774,15759,344,129,25166
LGA18100,701,14,0,3,4,725,355,0,0,3,3,361,58,20,5,0,0,88,14,0,0,0,0,14,97,3,0,3,0,108,34,3,0,0,0,34,21,0,0,0,0,24,19,0,0,0,0,21,242,28,4,3,0,289,15,0,0,0,0,16,54,3,0,0,0,61,1365,53,7,9,11,1449
LGA18200,854,3,21,41,9,927,743,0,5,3,3,760,127,12,47,0,0,187,36,0,0,0,0,40,169,8,8,6,0,193,46,7,12,0,0,70,64,5,3,11,7,88,25,0,3,3,0,35,464,30,80,24,7,606,22,0,0,3,0,28,75,0,6,9,7,101,2163,38,115,74,23,2420
LGA18230,5037,153,166,118,21,5493,5639,92,49,100,15,5899,2006,517,528,44,12,3100,480,106,188,3,3,772,911,77,53,30,12,1076,79,45,33,0,0,155,108,14,11,20,13,162,84,9,10,0,3,105,3662,759,823,93,40,5370,64,26,112,6,3,210,386,29,67,22,8,504,14789,1054,1208,339,87,17474
LGA18250,5626,627,2038,9,10,8309,4463,718,2186,4,13,7385,1131,495,5760,37,14,7435,16,12,353,0,0,374,453,146,874,18,10,1493,16,14,66,0,0,100,39,20,100,4,3,163,52,6,60,0,0,120,1697,692,7218,58,24,9686,64,9,156,0,4,233,224,38,273,3,9,547,12077,2077,11873,72,58,26155
LGA18350,7133,424,41,78,57,7730,5695,97,28,9,23,5849,1558,285,150,9,16,2019,259,75,36,0,0,369,667,66,31,8,9,780,64,41,18,0,0,112,110,0,0,8,10,138,97,3,3,3,3,108,2756,470,234,27,37,3518,152,29,5,3,3,194,390,32,16,18,14,475,16121,1055,324,136,129,17759
LGA18400,4362,247,17,23,14,4656,7449,78,16,13,17,7576,1216,95,54,10,10,1392,98,35,13,0,0,141,470,17,11,14,7,513,30,23,0,0,0,54,71,3,0,40,4,124,61,0,0,3,0,69,1948,177,76,69,18,2290,77,105,0,0,0,180,348,40,0,4,4,399,14179,647,108,113,55,15094
LGA18450,21225,2141,2052,196,114,25727,19530,1667,1730,47,60,23035,4567,2364,5232,103,66,12340,2175,1565,1540,10,6,5296,2006,615,933,38,33,3630,87,134,150,10,0,378,175,67,103,45,8,406,171,52,93,10,4,322,9183,4799,8048,215,128,22378,212,243,177,10,35,681,1216,304,450,35,132,2141,51367,9154,12454,511,468,73953
LGA18500,2484,1745,3126,24,32,7407,1453,1410,2121,25,26,5040,258,1025,4533,66,24,5912,0,5,48,0,4,61,136,302,1159,29,9,1636,3,17,12,3,0,32,24,15,60,3,3,109,19,34,78,0,0,137,434,1403,5899,103,40,7882,26,39,92,0,0,160,103,105,388,11,8,615,4500,4703,11636,158,106,21105
LGA18710,1814,48,6,14,14,1900,2386,29,6,8,19,2443,325,62,3,0,0,388,71,4,0,0,0,68,338,19,8,0,10,382,16,14,0,0,0,35,72,8,0,4,3,82,46,4,0,3,0,52,863,113,17,6,12,1011,35,20,0,4,0,59,87,10,0,5,0,110,5185,220,26,40,51,5519
LGA19399,142,0,0,0,0,143,64,0,0,0,0,71,0,0,0,0,0,0,9,0,0,0,0,9,31,0,0,0,0,28,3,0,0,0,0,3,37,0,0,0,0,44,18,0,0,0,0,18,93,0,0,0,0,93,12,0,0,0,0,12,17,0,0,7,0,23,331,0,0,5,4,336
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
