LGA_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
LGA14920,19,18,39,8,21,20,20,56,77,24,124,155,73,193,269,75,95,171,216,84,299,150,73,219,207,77,281,191,31,220,128,32,153,121,26,145,190,38,230,111,4,116,65,0,65,24,13,41,74,0,74,206,13,216,55,64,122,1954,956,2916
LGA14950,3,12,17,6,5,8,8,27,27,5,38,43,34,82,112,27,25,56,65,22,86,63,38,96,70,24,97,87,16,99,47,14,59,64,3,64,77,10,82,48,0,48,25,0,25,18,3,21,39,0,39,97,5,105,12,23,30,797,333,1129
LGA15050,122,134,250,83,75,159,117,350,465,162,605,763,534,1328,1867,604,580,1184,1665,503,2165,1278,631,1909,1662,554,2218,1700,356,2055,1467,284,1751,1381,245,1635,2734,303,3036,1901,38,1938,1137,14,1154,680,89,773,1342,17,1359,1904,117,2023,291,396,689,20758,6613,27374
LGA15240,228,246,477,180,193,378,239,754,991,240,1290,1528,1215,3104,4325,1031,1341,2371,3674,1023,4690,2344,998,3343,2802,741,3544,2344,374,2716,1451,251,1705,1367,180,1549,1913,211,2120,1119,26,1145,516,8,522,336,125,463,562,13,580,2290,147,2437,578,779,1358,24408,11824,36233
LGA15270,48,76,121,36,53,87,51,160,216,63,264,328,263,625,890,183,261,449,608,203,809,411,210,622,519,188,704,469,113,588,332,73,406,354,93,451,633,143,774,447,12,460,256,5,265,180,49,232,371,13,382,625,45,665,130,192,317,5993,2780,8768
LGA15300,34,32,63,19,22,45,41,97,142,40,115,152,103,219,317,97,103,200,224,125,352,175,132,306,248,133,386,261,113,369,200,56,257,214,47,267,373,66,431,208,6,215,137,0,137,67,44,109,156,0,153,364,24,394,115,127,244,3077,1464,4545
LGA15350,63,90,153,21,38,55,26,92,112,22,149,172,41,259,299,60,192,253,103,184,291,162,267,435,227,295,527,268,264,531,207,291,498,240,251,496,619,451,1068,486,30,519,384,33,408,711,440,1150,2825,33,2855,920,87,1005,66,111,177,7458,3567,11022
LGA15520,42,31,73,22,11,38,18,99,115,22,134,156,129,305,436,103,151,253,335,105,437,226,121,351,323,108,433,275,56,337,192,35,222,203,28,228,336,37,373,211,11,216,104,0,107,49,11,60,105,0,105,301,18,320,86,117,201,3088,1382,4470
LGA15560,4,9,14,3,9,13,11,15,24,7,34,44,31,66,95,33,40,77,73,33,107,58,51,111,91,41,132,91,22,113,74,17,88,70,11,83,107,8,117,65,4,68,33,0,33,12,6,16,29,0,29,126,3,132,22,43,64,941,415,1361
LGA15650,46,32,75,25,32,60,41,110,144,46,151,200,129,278,405,151,123,276,307,124,425,252,147,398,294,144,441,277,103,374,237,90,328,242,66,307,509,139,645,355,14,363,227,8,235,150,38,185,267,9,277,399,25,424,90,101,197,4038,1722,5764
