LGA_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
LGA12000,16,75,21,32,4,172,8,3,39,31,53,12,142,0,0,0,0,3,0,3,0,0,0,3,35,0,37,0,0,3,4,21,10,36,44,24,199,160,562,71,1063
LGA12150,12,52,15,27,6,120,5,3,28,35,45,8,124,0,0,0,0,0,0,3,0,0,0,0,24,6,29,0,0,4,3,15,13,32,28,19,163,129,406,71,817
LGA12350,35,175,59,72,8,367,9,10,115,110,199,26,465,0,0,7,4,27,0,34,0,0,8,18,105,3,144,0,0,10,6,52,24,93,66,68,538,433,1581,188,2875
LGA12380,256,1707,469,469,120,4041,1100,270,3423,1561,1606,346,8301,42,7,181,119,154,30,534,160,28,443,403,1011,83,2128,335,39,863,571,873,584,3269,7941,1299,19500,9832,13559,3077,55209
LGA12700,32,93,46,68,8,263,15,13,100,98,118,14,363,0,0,5,3,9,0,20,0,0,3,14,107,5,138,0,0,13,11,56,10,86,102,78,458,440,1370,127,2562
LGA12730,26,114,34,35,5,230,23,17,113,97,119,24,398,0,0,4,3,10,0,13,0,0,11,9,80,3,105,3,0,6,4,31,23,69,84,68,474,376,1158,161,2324
LGA12750,137,381,134,156,22,918,100,75,461,292,597,60,1580,4,3,28,25,74,7,144,10,0,29,46,307,10,396,10,0,36,40,135,58,282,364,338,1647,1337,4387,445,8514
LGA12850,127,1244,424,486,118,2979,354,116,1740,1172,1434,249,5069,12,7,113,90,134,18,374,44,4,239,423,1309,104,2127,81,8,457,382,953,453,2335,2071,555,11154,7541,14004,2404,37727
LGA12870,24,118,38,44,6,240,20,26,128,98,157,21,440,0,0,0,8,20,3,33,3,4,13,15,110,8,148,3,0,5,14,58,17,104,79,76,502,433,1616,194,2898
LGA12900,14,161,45,77,9,329,13,20,86,80,126,15,347,0,0,4,3,13,0,18,0,0,3,11,94,4,110,0,0,11,12,50,24,99,75,59,481,367,1241,174,2402
LGA12930,324,1966,492,398,92,4340,1038,293,3135,1155,1061,246,6928,64,12,216,138,170,19,620,167,27,368,284,853,51,1752,315,24,708,316,484,324,2167,7837,1470,18848,8274,10573,2025,49024
LGA12950,3,71,18,24,3,133,7,5,29,44,75,10,171,0,0,4,0,5,0,9,0,0,3,0,40,0,50,0,0,0,3,22,0,28,32,12,201,146,536,78,1007
LGA13010,22,95,40,41,0,216,13,5,79,76,133,16,324,0,0,3,3,10,0,21,3,0,9,7,80,0,96,0,0,6,8,36,21,66,62,47,350,334,1007,124,1926
LGA13310,79,323,142,153,15,795,109,52,374,339,558,60,1490,3,3,18,11,40,3,82,6,5,29,47,301,14,397,5,3,26,40,151,33,256,377,252,1432,1428,4069,405,7961
LGA13340,24,136,71,62,8,350,12,19,107,89,142,21,391,3,0,0,0,13,0,14,3,0,3,15,103,7,130,3,0,12,13,52,11,88,102,78,545,530,1456,197,2911
LGA13450,71,318,98,114,16,663,45,35,287,217,306,36,921,0,0,12,13,23,3,50,4,0,13,32,305,16,364,12,8,22,29,133,57,264,236,172,1403,977,3421,460,6667
LGA13510,32,130,53,53,14,303,10,13,99,107,164,13,405,0,0,4,3,16,0,22,0,0,3,7,95,8,111,3,0,5,11,39,27,80,75,65,463,439,1401,178,2618
LGA13550,30,164,45,65,11,337,12,10,110,118,145,26,429,0,0,3,3,9,0,12,3,4,9,14,140,3,170,0,0,16,6,57,17,100,100,82,645,484,1693,239,3243
LGA13660,12,64,19,34,3,139,3,5,34,42,58,16,156,0,0,0,0,6,0,6,0,0,6,3,29,0,36,0,3,0,3,7,16,30,21,29,251,217,545,110,1175
LGA13800,195,917,345,413,62,2377,175,117,769,589,826,73,2550,12,4,41,51,192,24,329,14,10,74,144,901,27,1175,19,6,80,114,555,138,911,1015,532,3732,3672,10860,853,20672
LGA13850,7,40,11,12,4,79,3,3,15,18,34,0,80,0,0,0,3,3,3,10,0,0,0,3,15,3,23,0,0,3,4,16,3,27,12,17,126,110,357,44,674
LGA13910,40,238,68,85,16,482,31,16,173,154,271,28,675,0,0,7,3,26,3,44,0,0,17,27,166,3,211,3,0,14,21,86,33,155,132,106,899,704,2365,305,4505
LGA14000,610,2860,705,551,123,6591,1361,445,3444,1333,1198,262,8053,86,18,260,129,133,25,643,174,48,462,272,849,49,1852,301,61,689,299,430,202,1986,9893,2516,21505,8189,10459,1737,54298
LGA14100,35,224,36,27,4,470,213,38,348,87,49,32,767,8,3,31,22,13,3,82,16,6,47,29,53,6,153,27,6,74,30,38,15,187,936,239,2169,676,674,169,4856
LGA14170,852,3798,692,471,132,9517,2206,577,4406,1208,968,261,9628,374,108,1055,325,291,49,2203,269,94,760,369,832,62,2387,349,70,1083,402,478,342,2726,15241,4091,34707,10632,11456,2162,78282
LGA14200,43,242,60,87,18,478,23,23,158,135,297,33,669,0,0,0,0,12,3,20,0,0,14,11,153,4,186,3,3,12,10,59,47,127,79,102,718,567,2084,296,3843
LGA14300,15,54,21,35,7,145,10,7,47,55,79,7,198,0,0,0,0,8,0,6,0,0,3,5,51,0,61,0,0,6,4,20,10,32,40,32,274,207,770,105,1422
LGA14350,62,296,118,174,29,737,56,35,318,240,537,45,1229,3,0,9,10,33,0,52,0,0,13,22,188,14,240,3,3,15,18,124,54,222,161,148,1005,883,3398,373,5965
LGA14400,148,523,136,127,17,1129,163,80,441,229,247,45,1205,4,3,29,33,38,3,109,7,6,28,33,145,7,232,7,5,46,23,99,19,200,577,355,1995,1251,2607,228,7009
LGA14500,391,1966,424,209,90,4473,1539,337,3135,718,406,198,6330,90,24,252,75,73,25,550,196,35,404,170,336,40,1182,387,41,768,212,219,139,1765,10337,2074,20758,5222,4265,1334,43989
LGA14550,35,87,43,64,8,253,17,14,108,78,128,20,379,0,0,4,3,7,4,19,0,0,3,9,59,3,78,0,0,9,12,33,15,75,66,74,380,322,956,126,1915
LGA14600,26,100,27,30,3,193,5,3,47,42,79,8,189,0,0,0,0,3,0,7,0,0,0,3,44,4,54,0,0,9,12,23,13,56,31,47,270,205,666,121,1336
LGA14650,506,3028,906,1057,131,6621,904,514,3812,2314,3615,408,11559,17,8,126,104,263,23,551,76,32,234,333,1998,65,2731,68,19,240,232,970,267,1794,3378,1759,13510,9685,26708,2134,57170
LGA14700,143,599,130,73,20,1461,504,140,1099,239,164,53,2199,37,17,104,38,40,5,235,70,13,125,66,138,8,426,113,12,263,68,72,50,583,3567,759,7508,1903,1723,409,15866
LGA14750,21,204,46,102,21,422,12,7,74,68,119,13,289,0,0,0,0,10,0,12,0,0,9,7,93,13,123,3,0,10,13,56,19,98,82,64,542,334,1476,206,2697
LGA14850,194,844,225,285,31,1805,223,141,995,558,884,88,2888,9,10,53,17,52,4,143,10,5,54,67,399,19,553,15,10,56,48,197,73,397,672,502,3233,1834,5437,512,12194
LGA14870,35,160,66,103,13,419,24,35,182,145,280,30,699,3,0,18,10,31,0,58,0,3,11,26,158,3,209,3,3,12,23,105,34,183,162,120,752,769,2815,270,4889
LGA14900,229,2073,602,675,126,4730,785,284,2832,1676,1853,322,7751,15,8,137,118,213,29,527,53,24,250,370,1501,80,2279,137,27,500,451,1129,520,2768,4051,1048,14556,10092,19189,2793,51731
