LGA_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
LGA13010,0,3,0,3,3,5,6,4,18,76,76,9,161,14,5,22,181,184,3,375
LGA13310,3,9,0,0,0,8,14,16,42,368,308,48,725,44,53,97,820,547,19,1387
LGA13340,0,4,0,0,0,4,5,4,16,84,71,11,166,12,12,20,182,164,5,349
LGA13450,0,7,0,0,0,6,21,11,40,300,184,19,505,25,19,44,557,360,22,934
LGA13510,0,0,0,0,0,0,9,3,10,105,93,7,202,19,11,27,237,199,9,440
LGA13550,0,3,0,0,0,9,12,9,27,130,112,11,255,19,19,43,298,216,11,526
LGA13660,0,0,0,0,0,0,3,0,4,33,40,4,78,6,10,9,91,96,0,185
LGA13800,8,25,0,3,6,24,21,7,58,1009,599,62,1673,61,60,114,1789,1011,23,2824
LGA13850,0,0,0,0,0,0,3,0,3,30,41,0,72,0,6,5,77,49,3,130
LGA13910,0,5,0,0,0,3,7,8,19,164,207,16,391,34,20,56,444,348,21,816
LGA14000,7,25,0,0,0,25,17,17,49,1732,1008,104,2848,57,68,125,2978,1483,26,4486
LGA14100,0,7,0,0,0,7,4,0,12,133,87,15,237,9,12,17,254,126,6,378
LGA14170,11,33,0,0,0,33,36,26,92,2183,1140,121,3443,112,137,256,3696,2358,60,6109
LGA14200,0,8,0,0,0,8,16,6,30,143,176,23,343,37,31,65,407,396,14,811
LGA14300,0,0,0,0,0,0,3,0,3,71,58,7,131,8,0,9,136,107,0,243
LGA14350,3,9,3,0,3,13,35,10,62,272,370,33,682,57,50,112,793,840,31,1661
LGA14400,0,0,0,0,0,0,3,0,9,204,196,14,424,18,13,28,453,239,5,694
LGA14500,3,10,0,0,0,10,18,3,27,1233,676,69,1975,49,56,100,2076,1233,11,3323
LGA14550,3,3,3,0,3,9,4,3,14,58,88,16,156,23,15,32,196,227,3,424
LGA14600,0,0,0,0,3,3,4,3,9,51,57,11,120,17,11,26,145,128,7,273
LGA14650,13,44,9,3,9,53,83,38,182,2507,2254,248,5007,263,250,514,5525,3936,108,9566
LGA14700,0,4,0,0,0,4,4,3,14,443,221,17,678,23,11,32,712,292,4,1010
LGA14750,0,0,0,0,0,0,5,7,9,116,93,7,220,13,12,23,243,190,10,443
LGA14850,0,6,0,3,0,12,26,11,49,584,603,63,1256,71,77,151,1402,937,28,2366
LGA14870,3,3,0,0,0,3,16,13,32,186,211,22,426,36,34,66,489,492,23,1003
LGA14900,11,36,3,4,8,47,100,88,236,2545,1526,211,4288,203,278,476,4760,4523,147,9438
LGA14920,0,0,0,3,4,3,3,4,14,82,63,5,146,18,16,37,182,172,7,356
LGA14950,0,0,0,0,0,0,3,0,4,26,18,6,47,0,0,3,50,58,0,107
LGA15050,8,23,0,6,6,23,35,20,75,1073,857,103,2033,141,128,265,2301,1505,33,3840
LGA15240,7,31,3,4,12,37,76,25,137,760,962,99,1822,164,146,306,2125,2155,61,4340
LGA15270,0,3,0,0,0,3,13,7,28,208,206,16,429,30,34,61,497,429,23,945
LGA15300,0,5,0,0,0,8,22,12,42,164,95,15,275,34,17,48,324,350,23,692
LGA15350,0,5,0,0,0,5,9,3,15,319,190,20,526,13,17,33,564,238,7,807
LGA15520,3,3,0,0,0,3,6,7,14,89,88,18,198,6,3,9,201,125,11,332
LGA15560,0,0,0,0,0,0,3,0,3,34,34,3,71,6,3,9,80,66,0,140
LGA15650,0,8,0,0,0,8,16,8,34,185,140,15,343,52,27,77,426,354,9,793
