LGA_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
LGA14870,7929,7954,15882,425,481,915,534,571,1103,7,7,15,25,25,55,12,3,17,0,3,3,0,0,3,0,0,0,3,4,5,0,0,0,579,620,1201,22,31,49,20,23,44,1047,1150,2205,1595,1174,2766,10571,10286,20856
LGA14900,79695,81481,161174,1856,1932,3788,7858,7914,15770,156,106,264,256,210,473,38,38,73,53,33,91,9,0,12,51,30,80,56,32,84,0,0,0,8484,8368,16847,1203,1414,2620,158,131,286,11694,11846,23543,8474,8166,16642,99863,101491,201353
LGA14920,3003,2927,5928,193,188,387,182,193,375,3,4,4,33,34,67,4,4,10,5,3,12,0,3,4,7,6,8,3,9,8,0,0,0,247,252,494,4,3,9,11,4,16,453,447,904,370,414,778,3826,3787,7612
LGA14950,1264,1267,2534,46,59,108,47,53,99,6,3,12,4,6,7,0,3,10,7,3,4,0,0,0,4,0,7,3,0,3,0,0,0,74,68,144,0,0,0,4,0,3,118,133,251,136,158,298,1526,1564,3085
LGA15050,29230,30462,59698,1477,1609,3087,3378,3692,7072,36,55,92,141,185,326,19,14,36,41,46,83,3,3,5,21,11,33,12,12,25,0,3,7,3651,4022,7675,123,133,259,88,74,160,5342,5843,11179,2650,2757,5401,37220,39062,76280
LGA15240,33992,35564,69559,2134,2378,4514,3317,3410,6728,47,63,106,185,190,372,8,13,24,26,31,59,11,13,25,22,12,29,5,13,24,0,0,3,3618,3750,7371,117,138,256,131,126,263,6006,6392,12398,3718,3919,7639,43711,45875,89590
LGA15270,8928,8827,17757,679,687,1370,765,786,1557,9,7,16,68,69,136,18,13,24,22,14,29,7,3,7,5,8,7,3,11,14,0,0,0,894,901,1794,35,38,79,19,25,44,1628,1660,3286,1392,1352,2749,11950,11841,23790
LGA15300,4884,4778,9664,340,407,745,236,245,485,10,9,11,105,103,209,3,0,3,3,5,6,0,0,0,3,0,9,0,0,0,0,0,0,355,367,723,19,10,26,26,24,48,739,810,1548,891,833,1719,6513,6415,12927
LGA15350,9791,11331,21125,639,707,1346,907,1156,2063,40,49,88,24,32,57,8,9,23,28,24,51,0,0,0,4,10,17,6,10,21,0,0,0,1020,1292,2315,367,457,826,14,24,38,2043,2483,4525,1194,1342,2533,13030,15155,28181
LGA15520,4470,4464,8938,224,245,468,89,82,174,350,399,752,26,27,52,7,9,12,12,10,21,0,0,0,10,11,13,0,0,3,0,0,0,493,543,1037,21,24,46,17,22,32,756,834,1584,520,531,1051,5748,5828,11575
LGA15560,1555,1394,2952,88,78,164,66,57,120,19,11,31,9,3,19,0,0,0,0,3,3,0,0,0,0,0,0,3,3,6,0,0,0,96,83,182,8,10,15,5,3,9,188,172,359,255,229,481,1998,1790,3790
LGA15650,6036,5858,11896,495,535,1029,506,533,1040,12,14,25,52,59,114,4,5,13,15,12,26,0,0,4,3,3,7,0,0,0,0,0,0,588,637,1228,28,52,82,13,25,40,1132,1240,2372,950,622,1572,8111,7722,15833
LGA15700,7318,7534,14854,363,410,768,574,644,1222,16,17,30,103,105,204,5,5,12,17,12,27,11,3,17,10,8,13,7,11,19,0,0,0,742,810,1546,15,27,45,29,19,51,1148,1264,2407,869,903,1771,9336,9698,19032
LGA15750,4971,4918,9896,307,355,663,276,285,563,13,8,17,50,46,89,0,0,3,4,6,5,0,0,0,4,0,6,0,0,0,0,0,0,339,344,687,11,11,24,11,10,19,675,718,1395,786,827,1613,6437,6464,12905
LGA15800,2153,2197,4342,161,161,321,141,123,264,25,24,50,9,3,8,5,4,7,3,3,6,4,0,4,0,3,3,0,0,3,0,0,0,184,166,351,8,18,32,3,7,9,355,351,711,356,375,730,2866,2923,5785
LGA15850,2512,2447,4961,170,209,383,117,138,256,0,0,0,13,14,27,0,0,0,3,3,6,0,0,0,0,3,3,0,0,0,0,0,0,131,160,298,6,11,14,7,5,9,315,394,705,357,353,701,3180,3189,6366
LGA15900,57658,59255,116905,2241,2259,4500,8434,9045,17475,159,174,334,341,303,644,68,63,134,90,93,177,25,30,58,46,53,101,62,53,114,0,3,3,9222,9821,19043,1154,1197,2350,206,189,398,12824,13466,26287,5249,5181,10431,75732,77900,153624
LGA15950,21650,24560,46211,864,963,1823,4015,4378,8391,128,139,268,147,164,306,54,43,93,77,76,156,3,7,10,13,13,21,51,70,122,3,3,3,4473,4898,9373,1188,1330,2519,48,68,118,6576,7258,13828,3191,3476,6662,31416,35289,66699
LGA15990,97140,101663,198799,3570,3664,7234,9440,10006,19449,172,168,340,224,230,452,41,45,79,105,97,202,19,13,35,32,35,68,57,55,107,0,0,0,10093,10648,20732,2222,2388,4608,229,230,452,16113,16923,33034,8799,9321,18127,122060,127904,249965
LGA16100,1975,1908,3883,162,136,300,133,147,281,5,3,7,12,6,16,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,153,164,312,8,3,14,5,7,10,327,312,638,431,286,720,2725,2510,5240
