LGA_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
LGA11800,100,161,181,268,569,745,415,1052,34,3534,242,502,604,805,1047,1045,467,798,38,5555,105,260,253,400,992,887,402,646,58,4006,145,720,594,855,609,273,174,229,68,3674,144,440,518,676,1089,518,219,220,34,3865,114,925,461,479,517,285,172,216,36,3199,56,152,142,187,308,232,169,317,32,1590,115,908,550,555,588,455,163,291,87,3702,22,49,40,40,78,64,25,47,149,507,1049,4106,3341,4275,5782,4504,2218,3810,534,29620
LGA12000,11,21,19,19,31,62,33,206,14,426,8,22,25,40,39,44,18,34,0,237,11,13,19,23,38,64,23,39,3,234,7,35,24,30,49,24,9,7,6,179,12,18,28,25,50,26,9,9,3,170,5,40,11,19,21,10,8,16,3,128,5,13,8,13,17,30,19,33,0,132,4,32,25,32,27,33,12,20,4,190,3,3,3,0,7,8,0,3,9,30,65,188,158,196,277,300,133,358,45,1728
LGA12150,16,16,17,15,21,63,28,217,6,409,12,7,11,9,27,35,20,38,0,169,6,13,4,17,37,27,10,19,7,148,9,24,28,30,45,12,8,3,15,164,7,20,14,26,34,23,10,4,3,145,0,11,11,14,9,16,3,14,3,82,0,3,3,4,22,13,12,17,5,85,3,25,21,28,26,31,12,31,10,192,4,0,3,3,6,0,0,3,17,36,67,129,116,150,228,217,106,346,63,1419
LGA12350,21,46,45,51,70,158,97,352,15,859,36,45,87,83,104,114,72,116,10,651,25,44,37,40,160,150,68,102,14,646,24,77,97,93,96,55,22,33,11,518,15,65,71,93,101,79,27,38,3,489,17,116,69,71,74,55,36,47,9,485,11,17,32,22,73,52,24,87,11,318,27,134,78,101,170,115,40,69,11,746,12,4,9,6,6,14,6,7,32,92,177,550,526,566,849,777,395,853,111,4811
LGA12380,169,240,374,472,1645,2242,855,1588,133,7727,462,986,1129,1204,4499,4963,1278,1669,252,16449,223,907,1265,1232,3038,3501,1385,1386,448,13373,235,1255,1656,1363,1587,1023,471,641,202,8435,324,1043,1237,1259,4156,2694,750,706,193,12364,219,1909,1609,948,1441,1029,356,422,165,8099,135,455,725,717,2062,1425,663,928,222,7335,194,1583,2009,1215,2300,1624,645,603,325,10503,71,178,211,131,444,383,93,112,924,2546,2038,8563,10213,8544,21181,18887,6502,8051,2860,86838
LGA12700,18,28,54,55,56,127,43,214,10,608,28,56,69,65,89,99,47,85,6,550,26,49,43,60,143,158,84,130,23,699,16,62,75,80,54,30,12,26,5,358,10,59,88,78,129,51,28,33,3,488,14,81,44,32,46,33,12,13,4,280,19,20,23,25,55,76,42,100,3,363,21,112,65,54,48,68,24,51,14,471,4,3,0,3,10,12,3,11,14,64,156,477,465,454,626,657,301,661,81,3885
LGA12730,27,33,26,26,79,123,65,311,10,693,24,40,57,57,105,108,55,91,7,553,14,15,25,39,96,131,69,66,9,477,15,80,63,84,98,30,11,21,7,409,20,60,70,88,112,59,15,26,0,449,14,101,37,41,59,32,15,28,3,330,15,15,13,21,51,65,28,59,5,274,21,98,61,96,70,71,51,54,16,546,4,5,5,3,8,9,12,7,17,69,157,446,358,469,691,638,313,664,78,3812
LGA12750,46,94,94,170,219,292,169,486,19,1588,117,234,292,307,357,319,141,273,24,2065,68,184,161,252,462,475,179,261,50,2094,86,364,334,382,232,126,71,106,23,1717,83,219,244,303,402,179,77,73,17,1609,68,424,228,250,235,134,48,96,28,1515,26,71,64,61,141,116,85,125,8,708,51,423,221,236,202,147,77,78,32,1466,19,27,14,18,26,34,3,13,75,225,555,2042,1650,1968,2284,1828,859,1516,278,12976
LGA12850,117,236,235,351,1161,1431,664,1306,92,5589,262,715,716,816,2659,2738,834,1025,154,9925,179,750,796,856,2709,2820,1076,1271,311,10767,183,1423,1279,1220,1257,800,345,536,193,7236,304,883,1071,1080,3292,2065,637,607,136,10080,141,1869,1175,853,1130,828,314,404,146,6857,166,584,556,678,2927,1773,781,1039,229,8736,231,1661,1295,1102,3070,1636,581,681,358,10611,62,169,133,134,371,263,72,121,773,2088,1645,8286,7251,7092,18581,14347,5305,6994,2401,71899
LGA12870,45,28,26,44,65,161,82,401,17,870,10,43,81,92,92,105,50,75,10,555,38,41,34,59,168,202,89,97,16,741,34,90,102,121,60,32,16,36,9,497,42,74,77,87,90,74,27,28,10,498,23,120,83,61,53,35,18,44,5,441,19,23,21,25,68,98,50,106,10,412,40,145,73,92,143,212,63,61,30,862,9,7,3,4,9,16,8,13,21,85,258,573,500,577,748,933,404,854,120,4970
LGA12900,23,29,32,42,57,125,76,355,19,758,27,29,63,66,94,129,55,98,5,560,14,24,33,41,118,129,73,98,14,549,17,50,59,99,68,43,16,21,9,382,11,50,40,76,97,58,29,33,3,398,28,76,40,54,64,39,32,38,8,379,11,19,15,20,48,61,54,84,4,322,13,85,54,64,91,87,44,55,15,508,5,9,0,5,7,3,3,6,42,90,159,369,337,468,644,678,382,789,115,3944
LGA12930,179,264,366,462,1523,2187,1088,2273,95,8433,533,1287,1551,1561,3776,4819,1636,2310,192,17669,147,454,755,640,1805,2103,838,1105,167,8019,215,1310,1428,1136,1168,792,344,341,115,6848,326,1020,1440,1188,2928,2397,711,709,115,10838,211,1591,1335,866,1137,1003,358,449,101,7050,84,234,333,349,872,741,330,519,84,3551,158,1021,1317,706,1041,718,292,335,136,5736,43,103,95,87,237,202,47,88,474,1375,1905,7288,8629,6999,14491,14961,5650,8135,1474,69537
LGA12950,13,18,18,23,33,58,31,283,13,487,7,11,17,28,50,35,27,40,3,216,12,11,12,19,35,57,15,40,7,208,14,34,31,55,39,15,13,13,8,223,7,19,25,20,32,7,12,12,0,138,3,23,19,20,18,6,9,15,8,119,5,5,12,8,19,18,12,40,3,128,8,48,35,20,33,37,18,32,6,241,0,0,0,0,0,0,0,9,3,25,69,185,179,196,256,248,129,476,49,1783
LGA13010,25,36,34,41,59,113,56,319,15,689,11,33,65,51,76,79,27,63,4,416,7,28,35,23,94,89,39,65,8,388,20,59,54,88,76,34,20,29,6,388,26,41,43,49,111,43,23,11,0,346,14,80,40,53,36,17,15,20,7,282,9,12,22,22,41,34,21,46,6,206,15,104,60,66,60,41,27,56,15,438,3,3,6,7,10,4,4,8,23,68,135,405,363,393,563,449,228,607,87,3224
LGA13310,47,50,77,98,240,285,177,481,14,1468,85,120,191,252,392,377,148,268,13,1844,40,86,88,129,459,453,234,338,20,1845,106,219,292,347,475,264,93,124,30,1947,61,152,175,224,476,226,99,118,14,1550,61,303,207,198,190,129,63,87,18,1266,37,53,58,81,245,152,113,318,31,1088,46,287,185,211,308,219,87,127,33,1501,14,14,6,6,34,41,12,19,64,211,494,1292,1285,1547,2810,2142,1021,1882,243,12722
