LGA_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
LGA17550,702,572,1275,2361,2215,4582,754,771,1525,416,374,785,3533,3359,6890,1536,1543,3083,642,730,1365,415,431,844,2590,2702,5289,102,125,226,65,178,247,262,171,433,221,510,730,4,16,19,653,997,1648,351,473,822,185,311,498,71,133,202,204,575,781,7,10,13,823,1499,2323,59,68,126,105,192,294,6,4,10,162,265,431,3723,4054,7773,12173,13450,25623
LGA17620,159,148,302,412,432,844,157,128,287,101,112,216,668,677,1350,229,230,452,117,132,247,68,81,152,406,443,851,3,16,15,3,13,16,53,36,87,41,89,130,0,0,0,96,153,247,32,28,60,9,16,18,4,11,15,19,72,86,0,0,0,61,127,184,3,3,3,5,33,39,0,3,3,12,42,46,683,727,1410,2078,2312,4393
LGA17640,75,59,135,206,207,415,63,69,136,15,10,24,284,290,580,135,182,321,47,33,78,9,9,15,194,223,411,3,14,21,0,10,9,34,24,62,25,31,56,3,0,3,68,75,144,18,33,47,4,9,17,3,3,8,18,42,63,0,0,0,42,87,134,0,0,0,5,13,22,0,0,4,7,18,22,373,323,691,1047,1070,2112
LGA17650,57,53,110,202,194,403,43,43,89,30,39,61,273,275,550,131,126,262,35,41,74,31,38,68,196,205,398,0,4,4,4,3,8,15,16,27,11,35,42,0,0,0,34,57,92,15,33,56,3,26,30,5,21,23,20,46,65,0,0,0,46,125,173,0,3,8,3,10,14,0,0,0,8,18,20,252,265,508,863,996,1853
LGA17750,649,545,1198,1710,1615,3330,811,840,1651,333,277,610,2853,2730,5588,1126,1051,2177,620,676,1302,354,369,718,2100,2096,4193,142,92,233,93,111,206,304,203,501,220,395,615,9,4,14,766,807,1570,447,986,1428,187,314,508,67,166,230,284,555,838,3,6,5,987,2029,3017,134,59,193,82,139,222,6,3,9,218,206,423,2042,2042,4080,9615,10455,20074
LGA17850,24,25,52,66,77,143,46,32,80,3,0,4,118,110,228,58,64,123,13,11,22,6,14,20,74,91,165,3,3,3,3,6,7,7,5,13,5,15,19,0,0,0,20,28,45,8,5,18,3,5,3,3,3,8,3,17,14,0,0,0,12,34,45,0,3,5,0,0,0,0,0,0,0,3,5,178,181,363,427,471,900
LGA17900,70,76,146,180,182,358,82,68,147,5,6,13,267,262,529,112,83,193,4,4,9,14,18,32,136,104,242,8,6,13,7,14,17,8,12,15,11,31,41,0,0,0,33,58,91,8,3,10,3,5,10,0,3,5,3,30,32,0,3,3,19,41,59,3,4,5,0,9,13,0,0,0,4,15,21,458,404,862,978,958,1943
LGA17950,41,41,81,66,49,112,42,78,124,0,0,6,106,130,236,65,60,122,3,3,5,0,3,4,68,70,139,0,3,4,0,3,3,3,9,6,4,14,16,0,0,0,6,21,31,3,12,13,0,3,3,5,0,3,5,16,18,0,0,0,10,31,45,0,0,0,0,0,0,0,0,0,0,0,3,154,174,325,391,464,852
LGA18020,75,66,142,270,280,550,86,105,189,10,0,10,369,384,747,276,254,528,9,3,15,16,11,20,300,269,561,8,10,16,0,13,19,10,25,38,25,55,85,0,3,3,46,112,157,15,24,40,5,3,5,4,9,13,9,60,70,0,0,4,39,96,132,0,5,6,8,14,19,0,0,4,9,26,31,574,576,1153,1409,1519,2927
LGA18050,694,590,1278,1268,1196,2466,276,276,553,680,662,1337,2225,2133,4359,283,294,581,308,272,574,844,866,1713,1439,1425,2867,51,62,118,94,146,242,93,82,176,263,344,607,6,3,4,517,640,1152,677,788,1467,269,385,651,109,126,235,434,634,1067,13,7,16,1504,1927,3436,112,139,248,320,441,759,7,7,10,436,586,1028,3539,3687,7229,10355,10981,21334
