LGA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
LGA14700,3760,7447,29,135,415,1886,35,147,2940,11043,3420,13211,237,950,534,1834,541,1654,1300,4433,4722,17644,3,15,45,142,11,34,345,829,401,1024,48,151,182,407,372,781,605,1342,1010,2363,171,353,9657,27807
LGA14750,1116,2226,25,137,115,553,45,211,587,2382,774,3289,55,220,77,242,232,718,355,1179,1133,4465,9,39,32,125,17,69,200,562,258,797,5,24,29,64,148,318,184,406,443,1200,37,83,2731,7979
LGA14850,4346,8613,54,306,445,2110,113,480,2102,8365,2709,11265,174,697,328,1072,824,2562,1330,4339,4034,15601,36,170,171,607,73,262,1011,2705,1293,3746,95,292,254,544,729,1505,1074,2343,2366,6092,169,354,10918,30656
LGA14870,2200,4365,30,173,184,838,67,296,978,3896,1259,5201,85,347,133,424,468,1477,679,2251,1936,7452,21,88,74,269,37,136,398,1104,532,1592,24,78,82,173,369,795,473,1045,1003,2635,70,143,5215,14599
LGA14900,12021,24497,718,4276,3402,16682,1016,4984,14133,57178,19269,83124,2036,8999,2230,7973,5956,20227,10215,37204,29481,120327,190,890,685,2631,410,1575,3153,9273,4438,14370,549,1913,862,2028,3593,8325,4998,12264,9438,26637,800,1755,51746,173213
LGA14920,887,1746,13,73,86,373,20,96,388,1542,514,2076,26,96,36,122,139,422,203,642,716,2717,8,40,27,109,13,41,156,446,202,635,13,38,22,49,116,257,153,344,356,984,38,79,1991,5529
LGA14950,365,718,3,14,36,173,11,60,181,767,234,1018,13,54,14,49,61,179,88,283,323,1301,0,3,0,11,3,9,43,124,46,143,0,3,14,26,42,102,56,125,107,271,7,20,802,2305
LGA15050,7558,15006,154,864,947,4388,306,1387,5219,20500,6627,27138,452,1861,677,2249,1775,5560,2904,9674,9533,36814,52,263,280,1001,140,501,1688,4786,2158,6553,156,484,320,701,1197,2557,1681,3740,3840,10298,291,605,21220,62716
LGA15240,12817,25374,134,766,755,3506,274,1285,3643,14521,4805,20085,280,1105,609,1945,1666,5070,2551,8130,7357,28208,58,267,324,1193,176,629,1762,4998,2320,7089,114,356,350,765,1557,3287,2025,4409,4340,11504,320,666,24837,65760
LGA15270,2573,5082,30,173,229,1052,84,367,1502,5986,1845,7583,69,276,149,469,418,1280,639,2022,2485,9610,12,45,64,208,34,117,425,1168,526,1537,22,79,75,164,319,653,422,898,945,2435,77,165,6077,17292
LGA15300,1178,2335,25,126,96,406,41,215,726,2886,892,3634,34,110,78,218,223,694,330,1029,1219,4659,13,58,42,153,49,204,338,993,434,1403,18,56,30,53,209,468,254,577,692,1980,82,179,3169,9153
LGA15350,3114,6069,30,132,344,1526,28,105,2008,7594,2404,9360,169,674,515,1737,420,1286,1107,3692,3511,13053,0,6,61,198,7,29,271,657,351,890,47,144,158,352,257,524,459,1022,807,1908,86,180,7525,21215
LGA15520,1631,3214,23,114,126,581,31,148,631,2550,812,3390,45,179,79,240,178,551,302,969,1119,4361,3,14,21,83,7,15,148,377,181,495,12,34,32,70,113,242,153,343,332,835,34,64,3114,8481
LGA15560,394,778,10,41,45,205,14,78,191,772,267,1093,17,63,33,100,81,249,134,414,401,1507,0,3,6,25,4,28,65,201,79,264,5,10,12,28,48,92,56,133,140,393,14,35,952,2710
LGA15650,1524,3009,30,154,163,760,55,265,1039,4139,1285,5316,63,261,112,355,276,847,453,1462,1741,6784,13,44,48,184,31,121,419,1194,518,1542,19,68,54,111,200,416,272,600,793,2148,42,89,4095,12026
LGA15700,2476,4909,35,186,155,748,65,283,774,3120,1025,4340,59,260,100,319,345,1067,508,1643,1541,5985,11,59,80,308,42,179,433,1210,566,1758,27,75,63,142,344,725,435,939,1000,2697,88,191,5107,13774
LGA15750,1363,2700,18,89,151,665,46,215,735,2990,942,3955,43,177,83,247,245,769,378,1192,1316,5152,7,29,37,128,23,89,257,763,316,1002,11,39,44,93,187,406,251,539,564,1539,39,74,3281,9461
LGA15800,605,1189,10,50,51,229,16,85,296,1237,375,1601,22,86,47,152,105,330,180,571,559,2166,0,9,12,56,18,51,118,324,146,439,3,9,18,36,77,169,97,217,249,652,16,40,1430,4053
LGA15850,687,1338,9,59,77,340,15,66,322,1310,423,1779,30,128,27,80,116,377,180,587,605,2368,4,20,27,103,17,55,155,499,199,674,11,31,16,37,99,196,122,262,321,937,31,62,1640,4701
LGA15900,15018,29627,185,1011,1472,6689,393,1750,9107,34962,11153,44413,726,2969,1322,4366,2843,8831,4892,16172,16046,60582,92,382,451,1570,214,785,2688,7058,3447,9792,261,821,775,1694,2716,5749,3755,8266,7198,18060,817,1678,39068,109945
LGA15950,9460,18436,18,97,307,1305,38,155,4153,14649,4516,16208,181,689,562,1798,677,2002,1418,4493,5927,20699,6,7,72,232,14,38,656,1514,743,1797,73,207,329,691,616,1267,1014,2164,1765,3965,397,819,17548,43915
LGA15990,24315,48031,381,1995,3377,15272,536,2295,19792,76563,24091,96117,1989,8076,3194,11068,5523,17412,10707,36556,34793,132675,62,252,530,1748,161,527,2427,6181,3180,8706,457,1446,992,2231,3259,6955,4708,10634,7884,19346,755,1586,67745,201636
LGA16100,632,1235,16,66,71,315,15,75,242,979,340,1438,28,101,31,109,99,305,163,517,505,1956,3,17,10,48,9,38,74,205,99,308,8,23,24,51,75,155,109,225,206,530,5,14,1345,3742
LGA16150,3904,7721,79,439,400,1861,127,552,2554,10190,3159,13052,170,692,311,994,649,2035,1127,3719,4283,16770,28,126,151,546,75,289,868,2394,1120,3356,56,159,160,351,587,1235,796,1745,1919,5100,119,258,10227,29853
