LGA_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
LGA10850,58,0,0,0,0,58,18,0,0,0,0,18,28,0,0,0,0,30,44,4,0,0,0,45,73,0,0,0,0,73,179,0,0,0,0,181,164,0,0,0,0,164,151,0,0,0,0,151,70,0,0,0,0,72,55,0,0,0,0,55,35,0,0,0,0,35,48,0,0,0,0,51,910,3,0,3,3,924
LGA10900,524,12,4,0,5,544,261,11,0,0,0,267,220,3,3,0,0,227,369,4,3,0,0,376,472,6,4,0,0,484,1405,20,9,4,0,1435,1867,31,7,3,4,1907,2782,24,6,3,4,2817,1363,7,5,0,3,1377,987,6,0,0,0,994,463,0,3,3,3,477,373,6,3,0,0,379,11087,130,44,10,20,11295
LGA10950,26,0,0,0,0,26,12,0,0,0,0,12,12,0,0,0,0,12,13,0,0,0,0,13,32,0,0,0,0,32,54,0,0,0,0,54,29,0,0,0,0,29,22,0,0,0,0,22,4,0,0,0,0,4,9,0,0,0,0,9,7,0,0,0,0,7,8,0,0,0,0,8,218,0,0,0,0,217
LGA11100,97,23,79,0,0,203,30,15,25,0,0,62,23,0,27,0,0,55,42,12,32,0,0,85,52,27,68,0,0,151,134,54,191,0,0,378,130,48,261,3,0,447,270,100,459,0,0,835,224,98,333,3,0,658,380,232,296,3,5,908,419,127,135,3,4,685,108,39,65,0,0,217,1915,774,1972,16,10,4681
LGA11150,3,0,0,0,0,3,14,0,0,0,0,14,12,0,0,0,0,12,27,0,0,0,0,27,26,0,0,0,0,32,36,0,0,0,0,36,25,0,0,0,0,26,14,0,0,0,0,13,3,0,0,0,0,3,3,0,0,0,0,5,3,0,0,0,0,7,7,0,0,0,0,7,181,0,0,3,5,190
LGA11200,14,0,0,0,0,14,9,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,7,0,0,0,0,5,42,0,0,0,0,48
LGA11250,141,6,0,0,0,146,160,0,0,0,0,166,151,0,0,0,0,157,288,3,0,0,0,298,296,3,0,3,0,305,477,0,0,0,0,485,237,3,0,0,0,240,138,0,0,0,0,136,38,0,0,0,0,45,27,0,0,0,0,27,27,0,0,0,0,27,107,0,0,0,0,107,2099,14,0,4,7,2130
LGA11300,111,40,70,0,0,224,18,15,10,0,0,43,21,9,17,0,0,42,29,13,23,0,0,56,44,22,35,0,0,102,110,44,78,0,0,233,90,48,103,0,0,240,188,115,196,0,3,496,135,74,128,0,0,333,247,118,93,0,5,460,314,109,31,7,0,458,97,28,34,0,0,156,1396,638,799,7,11,2843
LGA11350,202,3,6,3,3,223,91,5,0,0,3,103,64,0,4,0,0,68,106,5,5,4,3,120,150,9,4,0,3,168,399,20,18,10,5,447,384,25,10,0,5,428,600,33,14,3,3,652,300,31,7,0,9,346,266,21,4,5,0,293,176,3,4,3,0,184,181,9,7,0,0,199,2918,169,91,28,32,3233
LGA11400,86,0,0,0,0,86,37,0,0,0,0,38,46,0,0,0,0,49,91,0,0,0,0,91,139,0,0,0,0,142,314,0,3,0,0,319,243,0,0,3,4,248,248,0,0,0,3,256,125,0,0,0,0,125,120,0,0,0,0,116,90,0,0,0,0,90,92,0,0,0,0,95,1629,0,5,7,7,1649
