LGA_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
LGA11250,4781,89,70,13,13,4969,1754,70,98,3,5,1931,255,6,18,0,8,286,6792,164,184,18,23,7184
LGA11300,3886,1693,4372,46,63,10054,696,232,574,10,10,1521,130,53,177,4,18,384,4711,1978,5123,50,84,11957
LGA11350,8074,691,526,267,106,9661,927,108,161,102,41,1327,261,25,43,24,26,384,9266,819,727,389,171,11368
LGA11400,3467,7,26,27,20,3549,926,17,46,21,5,1005,118,4,4,0,0,129,4510,30,75,44,26,4686
LGA11450,20158,1022,115,47,54,21394,1777,334,66,24,11,2218,372,71,14,3,9,472,22310,1432,195,71,68,24084
LGA11500,33497,6007,1592,60,71,41220,4846,1967,524,21,32,7383,968,300,88,3,13,1376,39315,8272,2202,82,109,49981
LGA11520,10538,2630,14543,264,120,28104,1613,281,1365,37,19,3306,237,69,368,13,19,692,12384,2978,16273,306,159,32102
LGA11570,49692,14135,21297,492,278,85893,10003,2608,5533,98,60,18291,1855,564,1057,29,72,3582,61550,17305,27889,617,406,107772
LGA11600,667,0,21,6,5,698,220,0,11,16,3,250,31,0,0,4,0,40,917,0,29,26,9,986
LGA11650,79953,10326,6375,664,297,97614,12845,4060,2460,419,123,19899,2278,636,418,61,131,3532,95068,15026,9260,1150,545,121048
LGA11700,308,13,3,3,5,329,215,3,4,7,3,235,23,3,4,3,0,40,548,19,16,15,13,605
LGA11720,13572,885,136,35,84,14708,3398,507,143,20,17,4085,449,92,14,3,15,578,17418,1482,293,57,116,19368
LGA11730,12854,639,530,338,110,14468,3495,406,370,226,24,4516,470,45,53,34,14,614,16821,1093,947,600,145,19605
LGA11750,1058,17,54,21,3,1154,364,5,42,10,0,420,60,0,8,0,0,73,1481,22,105,33,0,1640
LGA11800,17109,2368,1860,361,182,21878,2528,806,744,225,48,4346,454,144,126,43,50,814,20092,3315,2729,631,280,27042
LGA12000,1073,0,10,0,16,1097,321,0,14,3,0,349,40,0,5,0,0,46,1440,5,29,4,17,1491
LGA12150,785,5,24,10,8,829,430,9,26,3,3,468,58,0,8,3,7,72,1271,14,58,15,9,1370
LGA12350,3153,83,103,21,31,3390,1037,75,115,8,18,1254,142,12,10,3,3,176,4334,171,225,29,53,4823
LGA12380,29578,8407,13863,281,198,52320,5312,1617,2686,59,54,9725,1209,404,725,28,90,2458,36102,10426,17270,368,342,64503
LGA12700,2445,8,18,32,18,2516,627,17,18,12,3,665,66,0,3,3,3,74,3133,23,39,43,22,3257
LGA12730,2244,28,112,16,25,2433,676,24,102,14,12,832,93,3,13,3,0,111,3012,57,232,35,39,3376
LGA12750,9959,785,576,171,79,11563,2146,362,334,130,11,2982,348,55,53,20,7,481,12447,1201,964,319,103,15032
LGA12850,33424,5598,5156,287,145,44612,6456,1510,2370,139,68,10541,1327,283,335,33,58,2037,41207,7390,7856,460,271,57190
LGA12870,3205,113,144,40,17,3513,935,67,114,44,4,1158,132,10,17,3,3,168,4270,187,277,86,26,4843
LGA12900,2279,61,62,37,11,2444,787,51,65,20,6,925,105,4,16,6,0,128,3171,115,139,61,15,3496
LGA12930,22561,4614,14060,214,106,41561,3085,922,1842,46,15,5907,563,154,438,6,42,1203,26208,5690,16341,276,163,48676
LGA12950,1002,0,17,3,10,1027,474,3,30,0,3,509,40,0,0,0,0,45,1519,4,43,3,16,1587
LGA13010,2187,22,55,23,34,2324,884,13,61,13,17,981,101,0,10,0,7,118,3174,36,128,34,57,3427
LGA13310,7305,499,195,54,40,8101,1981,313,150,46,14,2507,265,45,12,14,4,339,9550,860,361,115,59,10945
LGA13340,2751,23,15,16,20,2820,714,25,23,12,3,765,97,8,4,0,3,112,3563,46,34,26,30,3699
LGA13450,5389,242,503,34,42,6208,1494,149,266,44,13,1969,211,18,64,7,3,312,7096,406,834,88,64,8487
LGA13510,2868,69,37,35,23,3021,1035,76,53,18,9,1183,138,3,3,0,0,155,4043,150,89,52,26,4358
