LGA_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
LGA17900,3,6,5,3,6,12,3,5,0,49,4,7,9,3,7,10,5,8,45,98,76,209,178,225,316,292,136,555,73,2060
LGA17950,4,3,4,3,7,8,4,3,0,40,0,3,0,0,7,7,3,7,13,33,44,93,83,99,154,220,89,333,29,1149
LGA18020,5,6,3,8,13,25,5,21,0,93,15,15,10,7,7,20,6,17,39,140,124,356,317,430,468,484,292,783,83,3335
LGA18050,30,158,135,122,184,207,90,151,15,1091,40,169,174,131,163,389,135,335,296,1832,974,3121,3610,3190,4631,8205,4077,8049,570,36426
LGA18100,0,10,4,7,7,7,9,5,3,49,5,10,3,4,9,8,3,5,12,59,47,169,148,149,175,231,132,353,38,1437
LGA18200,4,12,7,13,16,15,8,13,4,95,9,10,13,12,21,13,5,13,39,136,109,318,256,320,470,432,232,558,97,2786
LGA18230,30,82,89,92,242,170,98,171,11,977,26,58,54,51,114,142,51,88,202,784,758,2197,1845,2348,4842,4093,2019,3613,442,22142
LGA18250,18,139,128,97,167,171,101,157,16,1002,33,154,147,94,198,339,103,252,279,1603,971,3726,3647,3094,5442,8490,3636,6763,533,36309
LGA18350,22,110,98,114,138,126,84,142,11,844,36,122,92,85,106,133,69,145,164,933,639,2803,2304,2528,3265,3478,1821,3460,345,20644
LGA18400,27,106,95,81,180,223,115,210,16,1053,42,97,69,80,179,245,71,179,201,1179,826,2433,2267,2421,4210,4720,2334,4349,503,24054
LGA18450,108,455,377,376,707,699,306,459,28,3514,101,308,267,240,511,574,199,363,690,3262,3284,11204,9937,9922,17323,16044,7906,11166,1467,88251
LGA18500,12,101,80,89,108,141,64,119,0,718,39,151,126,100,121,270,95,272,197,1363,743,2703,2522,2398,2893,5715,2955,7676,403,28005
LGA18710,5,36,16,36,57,66,29,42,4,287,22,21,24,23,40,40,16,51,64,299,370,838,687,884,1483,1491,764,1381,183,8076
LGA19399,0,0,3,0,3,0,0,3,0,8,0,0,0,0,0,0,0,9,16,29,36,51,42,43,51,85,43,224,23,599
LGA19499,3,7,12,16,24,19,11,15,0,109,8,26,16,12,28,33,9,21,85,248,148,298,377,371,584,638,279,475,158,3331
LGA19799,4,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,6,13,43,4,9,10,22,12,4,7,4,130
