LGA_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
LGA13850,19,17,3,5,7,0,0,0,0,51,21,4,6,11,8,4,0,6,0,55,41,6,90,40,40,13,38,34,9,315,3,0,3,7,7,0,0,0,0,24,9,3,0,9,0,6,0,0,0,27,0,0,0,0,0,0,0,0,0,0,7,4,10,5,3,0,9,4,7,42,134,114,108,83,79,31,51,49,12,674
LGA13910,107,56,22,51,50,14,6,22,0,331,76,50,30,90,56,19,14,33,6,366,334,83,632,229,169,128,160,262,29,2019,23,3,6,17,21,23,9,32,0,147,41,6,14,30,40,25,11,28,0,197,18,10,3,3,11,4,0,7,0,56,47,17,33,23,25,26,26,55,7,250,930,835,767,508,450,256,220,482,52,4505
LGA14000,731,1165,374,421,773,248,84,133,51,3977,722,850,419,662,864,382,72,158,44,4169,1188,653,3054,918,1007,555,352,532,117,8376,61,52,54,64,178,80,28,45,3,562,236,166,122,213,458,146,52,103,19,1514,151,280,54,44,174,52,18,20,12,794,108,206,75,89,165,78,30,62,123,939,9246,22063,5429,4029,7407,2855,950,1631,688,54298
LGA14100,82,109,20,27,78,33,3,5,7,361,74,77,18,29,58,37,3,9,3,308,109,44,156,44,51,37,20,26,8,497,8,5,6,0,8,5,0,0,0,37,28,17,4,17,41,23,0,0,0,137,17,35,3,3,16,4,0,6,0,86,24,23,3,3,15,3,0,4,6,85,1183,2081,273,250,605,283,39,72,71,4856
LGA14170,883,1423,444,469,642,361,107,172,57,4562,1033,1375,668,874,1053,517,100,261,88,5970,1103,867,3232,1046,1137,653,451,542,158,9191,83,86,52,86,161,88,33,51,8,648,238,274,130,224,381,172,72,115,22,1618,128,279,83,82,144,69,23,59,23,893,140,252,129,131,135,92,67,118,196,1267,13654,34511,6487,5633,9129,4137,1283,2309,1139,78282
LGA14200,65,71,14,47,27,10,3,6,3,241,56,59,17,77,48,17,6,21,4,316,290,80,560,254,143,131,110,233,13,1802,20,5,5,13,19,14,4,21,4,108,25,5,8,31,30,21,5,34,3,175,8,7,5,7,3,4,0,4,3,43,31,14,33,27,23,23,18,55,38,256,636,807,657,511,355,232,149,413,78,3843
LGA14300,17,15,0,21,12,3,0,7,0,71,26,19,10,35,19,9,8,12,0,133,118,26,163,105,52,34,69,64,6,639,12,3,4,7,20,5,7,9,0,63,18,4,3,13,8,3,7,6,3,67,4,3,0,0,4,0,3,5,0,21,14,3,6,10,9,6,11,21,3,82,274,250,202,208,155,70,101,140,21,1422
LGA14350,62,100,21,82,38,12,6,17,6,345,65,112,34,136,98,38,3,28,6,529,330,147,863,500,288,178,207,311,58,2880,15,6,17,43,44,35,11,46,3,220,26,18,19,76,58,32,21,41,3,300,4,9,3,6,14,3,3,9,0,60,35,26,43,48,34,21,24,54,28,312,698,1295,1017,991,668,356,287,526,119,5965
LGA14400,106,170,45,79,79,35,9,17,6,547,126,145,89,137,114,39,18,19,10,695,268,111,901,259,244,119,168,154,32,2261,11,7,7,14,27,19,6,11,0,109,26,21,19,33,67,32,13,11,3,231,13,17,6,3,15,3,3,3,0,62,23,31,17,28,27,19,3,15,5,171,1063,2292,1168,762,776,333,246,272,101,7009
LGA14500,673,818,173,227,534,242,38,64,52,2821,520,535,150,292,515,235,31,68,31,2383,536,314,972,324,345,251,98,156,53,3046,37,35,22,25,66,26,5,15,5,244,165,156,52,120,252,145,25,41,17,975,139,234,36,33,129,47,7,17,19,658,99,209,43,59,100,54,9,21,84,673,10108,20060,2178,2115,5411,2331,355,665,768,43989
LGA14550,36,42,7,19,18,3,5,9,3,144,34,22,14,43,30,5,0,15,0,175,141,36,219,107,73,30,57,114,15,785,6,7,4,5,8,3,3,21,0,58,25,9,3,27,14,9,7,20,0,108,4,3,0,4,7,0,0,9,0,24,35,13,7,7,4,10,3,11,7,99,376,426,266,253,191,71,80,219,36,1915
LGA14600,27,25,0,17,14,3,3,4,0,100,24,9,7,30,23,4,4,6,0,105,144,17,161,64,40,33,52,49,9,557,13,0,4,7,12,7,5,3,0,56,24,3,8,7,4,4,4,5,0,56,3,3,0,0,4,0,3,0,0,17,31,9,14,3,9,3,12,14,11,103,350,269,194,147,119,67,82,84,18,1336
LGA14650,575,1207,410,585,682,197,83,99,33,3865,801,1131,676,1283,1101,363,141,197,44,5741,2060,1185,8861,2829,2753,1375,1976,1911,357,23307,91,52,73,194,341,223,82,186,9,1253,201,168,195,353,617,244,141,197,23,2143,63,148,54,71,140,52,35,62,10,629,91,176,163,215,230,158,124,197,138,1501,6374,15966,11012,6706,7425,3109,2718,3090,768,57170
