LGA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA14300,4,21,76,63,73,65,26,5,0,324,0,12,48,47,50,29,12,3,3,216,0,8,30,40,38,43,3,3,0,160,0,0,20,12,26,16,3,0,3,84,0,3,14,27,37,30,7,3,0,133,0,0,11,8,16,17,5,7,3,61,58,129,316,329,187,183,96,45,16,1366,332,400,870,851,840,862,624,279,115,5173
LGA14350,3,60,266,273,306,291,158,27,25,1418,3,23,127,156,162,168,48,14,4,700,0,6,63,91,133,124,32,7,8,458,0,3,39,87,125,88,16,0,3,362,0,0,37,96,108,84,19,6,3,354,3,5,22,30,46,50,31,6,4,198,288,205,491,402,447,533,484,389,278,3513,1653,1336,2675,2892,3719,4723,4042,1997,867,23915
LGA14400,3,95,246,234,282,352,178,43,23,1456,4,54,219,171,217,240,112,26,5,1054,0,20,153,206,254,221,65,24,3,952,0,6,100,165,201,180,37,10,3,702,0,4,132,272,327,270,43,20,3,1069,3,0,26,147,157,142,49,13,8,542,127,68,118,145,205,206,262,192,164,1491,1254,1058,1853,2350,2828,3466,2846,1498,704,17852
LGA14500,16,509,1276,953,1211,1008,867,448,229,6525,11,254,1086,897,985,807,667,336,139,5186,8,112,933,957,1142,939,547,281,157,5078,0,24,624,971,1010,744,438,192,98,4103,3,16,1020,2466,2480,1580,792,325,156,8840,9,14,440,3391,5047,2550,920,374,201,12942,556,319,501,626,799,589,590,642,957,5579,9293,6638,9662,15085,18515,13543,10518,6907,4036,94189
LGA14550,0,21,59,58,117,110,48,19,8,431,0,0,30,34,67,54,18,3,0,205,0,3,19,33,52,43,8,0,0,167,0,0,9,21,26,26,8,0,0,95,0,0,8,22,35,34,5,3,0,117,0,4,6,17,23,16,10,0,3,74,83,29,51,89,163,180,127,86,56,877,502,329,633,855,1358,1747,1217,594,239,7473
LGA14600,3,29,66,57,64,74,33,16,7,354,0,21,47,31,26,49,10,7,3,188,0,9,47,30,34,27,3,5,3,157,0,0,13,32,23,15,10,4,0,99,0,4,27,27,28,25,3,0,0,114,0,0,0,9,28,23,12,9,0,85,60,41,82,96,97,104,124,79,33,717,322,346,738,654,708,814,651,447,172,4846
LGA14650,35,786,3055,2673,2924,2533,1122,310,107,13546,8,272,2028,1899,2008,1614,513,118,30,8505,6,104,1548,1828,1927,1431,343,75,25,7287,0,38,887,1459,1489,1027,214,49,14,5179,3,44,1148,2050,2072,1425,270,72,21,7096,11,24,305,889,1052,757,221,75,35,3371,793,581,1129,1183,1411,1531,1697,1532,1371,11227,12210,10893,21737,23628,26085,26105,22286,12635,5681,161262
LGA14700,9,234,812,435,308,290,261,74,32,2457,0,115,771,413,278,268,160,65,26,2090,3,33,651,494,300,264,128,48,23,1939,0,14,498,436,305,212,109,38,12,1631,0,22,843,1073,671,442,168,68,19,3312,0,3,301,1198,1256,650,226,76,33,3742,108,117,454,352,237,231,198,150,156,1994,1925,2015,6278,5876,4673,3682,2708,1453,777,29376
LGA14750,4,63,144,134,170,155,53,14,3,740,3,26,96,87,122,68,20,6,0,427,3,8,68,73,80,58,10,0,0,294,0,4,44,71,65,34,5,0,4,228,0,0,30,60,76,36,11,3,0,218,0,0,8,20,28,21,7,4,0,88,110,58,117,116,150,171,154,127,61,1068,953,584,1197,1224,1481,1409,1074,708,239,8868
LGA14850,7,120,445,556,619,585,200,70,25,2626,4,33,246,328,377,358,80,17,3,1439,0,13,159,261,333,254,52,18,6,1093,0,0,73,167,239,193,37,13,3,723,0,7,77,210,263,201,44,17,5,820,0,0,27,69,106,99,45,9,11,364,351,289,443,422,522,645,438,284,200,3597,2785,2444,4395,5124,6124,6691,4429,2270,1148,35430
LGA14870,6,79,220,178,243,250,100,35,13,1133,0,37,129,143,199,163,39,7,0,718,0,18,98,106,140,136,20,7,0,527,0,5,62,91,131,89,15,6,0,394,0,13,118,168,208,120,17,4,4,652,3,3,31,69,101,68,27,7,3,322,187,176,404,348,361,362,384,205,104,2527,1193,1100,2256,2345,2865,3091,2751,1382,516,17496
