LGA_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
LGA15800,14,0,22,12,6,3,0,12,0,70,0,0,0,0,0,0,0,0,0,5,0,0,0,3,3,3,0,0,0,11,15,3,3,6,7,8,7,15,6,73,287,247,224,150,128,59,56,136,17,1301
LGA15850,4,3,30,11,5,0,7,9,0,79,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,10,9,8,5,7,5,7,10,5,65,330,307,246,173,171,61,113,98,20,1523
LGA15900,230,78,998,391,259,237,111,187,32,2527,3,3,7,8,3,6,0,19,0,51,73,153,68,58,84,36,57,40,24,591,76,130,152,103,109,67,77,133,155,999,5657,18571,7514,5686,6105,2611,1764,2283,645,50843
LGA15950,167,60,281,131,109,80,9,33,7,880,3,4,3,3,4,0,0,0,3,18,110,181,30,22,66,41,3,8,12,474,64,101,24,23,59,40,3,9,92,419,7566,16470,1724,1649,3930,1787,205,434,548,34300
LGA15990,615,217,1421,564,512,356,146,209,37,4086,6,13,13,15,9,16,4,15,0,85,258,388,85,114,177,106,53,46,49,1281,253,234,218,153,214,159,82,122,293,1730,19944,33621,11582,7937,11787,6061,1799,2900,1464,97102
LGA16100,7,0,19,12,12,7,7,8,0,74,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,3,17,18,0,6,4,0,4,10,15,5,69,245,246,242,128,110,58,125,100,28,1287
LGA16150,95,17,240,117,75,76,51,70,5,749,0,0,0,4,0,4,0,7,0,12,24,17,13,10,19,3,7,11,4,111,28,25,46,44,36,42,39,63,38,359,1409,3577,2039,1445,1513,707,547,695,136,12059
LGA16200,27,4,63,33,24,19,15,18,0,206,0,0,0,0,3,0,0,0,0,3,8,3,5,0,6,0,9,7,0,42,20,13,19,23,8,26,26,21,15,165,638,788,641,434,395,188,301,222,65,3664
LGA16260,307,91,944,363,372,283,184,242,45,2837,16,5,18,17,14,21,14,23,7,124,148,253,109,102,176,90,95,74,21,1072,125,197,171,94,171,102,96,121,283,1368,11037,31277,8494,6259,11684,4970,2785,3473,1387,81364
LGA16350,309,107,978,452,583,318,247,286,44,3321,11,8,3,15,16,11,10,12,0,85,102,85,77,78,100,42,113,60,32,690,119,117,243,141,226,143,255,222,252,1713,6374,12433,10538,6772,8905,3332,3948,3345,947,56596
LGA16380,148,32,512,227,131,145,40,155,9,1410,0,4,0,0,3,7,7,0,0,20,22,43,23,27,25,9,20,12,3,181,53,39,101,73,65,73,51,85,75,608,2337,5457,3450,2682,2510,1366,727,1286,265,20071
LGA16400,108,35,421,230,127,124,73,106,18,1234,3,3,3,0,3,3,6,10,3,30,38,44,44,35,33,12,27,13,12,251,57,46,112,64,51,50,50,92,56,574,2183,3736,3995,2355,2189,1036,1012,1155,270,17930
LGA16490,106,40,333,117,194,88,41,72,16,1003,4,4,0,3,3,3,0,0,0,20,82,67,19,37,63,11,15,19,19,333,68,59,76,48,93,31,33,60,70,532,3651,5228,2929,1970,3217,905,569,792,413,19668
LGA16550,253,66,624,300,233,132,33,119,16,1780,6,3,12,8,11,9,6,8,5,62,147,244,68,86,93,43,40,34,27,787,104,149,88,101,96,82,55,70,172,914,8815,21856,5022,4177,6282,3052,963,1611,827,52600
LGA16610,37,4,136,55,18,29,8,75,3,366,3,0,0,0,0,0,4,7,0,9,9,3,11,4,4,3,3,9,4,57,20,16,27,36,15,17,30,57,30,245,548,904,833,696,535,274,280,580,82,4729
LGA16650,212,52,754,297,192,168,81,149,23,1936,5,5,13,10,7,3,11,25,8,86,65,91,56,56,85,46,48,52,19,524,88,96,123,82,104,72,73,128,189,957,4688,10880,4629,3614,5178,2844,1586,2628,671,36708
LGA16700,194,50,652,236,179,157,45,96,21,1638,4,7,3,4,10,5,3,7,0,40,89,152,46,40,107,45,33,27,21,551,63,110,84,68,99,57,31,62,179,759,6784,17713,4472,3150,6304,2775,895,1442,708,44248
LGA16900,104,29,467,191,109,117,71,108,18,1220,3,3,0,0,0,0,4,5,4,15,19,16,33,17,31,7,31,21,16,179,36,39,131,56,53,54,51,105,67,598,1896,3837,4164,2833,2432,1165,1220,1250,296,19092
LGA16950,185,32,578,285,137,141,64,162,11,1599,5,3,3,3,9,3,3,3,0,32,42,58,36,41,37,21,17,26,4,289,95,59,134,102,61,103,62,126,100,843,3022,5714,4992,3554,2657,1503,907,1697,378,24425
LGA17000,30,12,102,70,32,36,63,42,4,390,3,3,0,0,0,0,0,0,0,10,6,5,15,22,4,0,27,3,0,90,27,10,38,17,18,19,39,33,23,217,835,1219,1573,700,727,309,939,363,116,6774
LGA17040,64,3,141,59,40,30,14,45,3,410,0,0,0,0,0,0,0,0,0,10,27,14,10,18,15,6,6,3,8,101,55,12,34,33,33,25,34,36,34,296,1278,1240,1072,772,731,404,303,516,110,6431
LGA17080,27,5,55,36,13,11,15,41,4,199,0,0,0,0,0,0,0,0,0,9,6,6,3,0,7,0,13,6,3,50,32,11,26,14,23,10,30,35,10,191,613,684,669,400,358,133,291,341,44,3540
LGA17100,57,21,213,102,46,59,24,44,6,591,3,0,11,3,0,8,4,7,0,30,19,53,15,20,40,18,14,12,10,192,37,31,23,22,37,24,12,42,57,284,1793,5796,1390,1116,1907,1027,460,706,305,14509
LGA17150,427,113,1121,575,591,401,146,201,25,3602,7,19,4,8,11,11,6,13,5,80,142,217,77,90,155,60,63,36,31,876,178,186,197,155,229,160,63,91,293,1549,13381,24773,12216,7712,11581,4854,2084,2583,1184,80373
LGA17200,592,166,1756,703,276,260,55,207,50,4068,25,17,32,60,7,25,10,48,9,227,342,619,102,158,199,119,37,71,51,1691,184,295,184,215,122,121,46,170,336,1673,16548,40493,7308,7764,9625,5864,984,3508,1531,93619
LGA17310,121,22,331,154,81,82,54,125,9,986,8,3,3,0,3,0,0,10,0,22,29,29,23,11,22,14,24,18,3,178,56,52,109,61,74,57,67,150,73,699,2178,4232,2915,1962,1924,918,785,1363,230,16507
LGA17350,14,0,34,12,5,11,3,8,0,88,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,8,18,3,4,5,10,10,0,6,3,60,312,328,259,163,148,83,66,90,13,1471
LGA17400,10,3,25,12,7,16,6,21,0,97,0,0,0,0,0,0,0,0,0,0,9,4,0,3,0,0,0,4,0,14,15,3,3,11,5,3,7,15,9,79,294,248,203,177,137,66,81,160,34,1394
LGA17420,269,103,594,293,332,231,55,100,32,1999,6,3,3,6,8,0,3,4,0,40,150,180,59,65,128,76,34,29,20,744,135,132,129,63,142,91,52,59,193,997,11207,21226,6470,4014,8632,3629,1236,1612,967,58989
LGA17550,160,48,661,287,174,162,68,165,18,1743,3,6,0,3,3,3,0,4,0,31,32,42,33,36,28,11,20,28,11,252,61,60,128,97,69,84,57,109,89,751,2661,5702,4306,3357,2630,1497,916,1694,355,23133
LGA17620,30,4,57,34,9,24,35,23,3,210,0,0,4,0,0,3,3,3,0,13,5,3,0,4,5,3,9,10,3,42,37,16,38,11,15,8,24,31,6,188,641,715,825,320,358,162,419,370,56,3865
LGA17640,13,0,29,21,6,4,3,11,0,93,0,0,0,0,0,0,0,0,0,0,11,0,3,3,3,0,3,0,3,34,30,8,11,12,10,7,14,11,7,106,559,417,343,269,248,74,107,149,30,2202
LGA17650,15,4,29,12,14,9,8,12,0,95,0,0,0,0,0,0,0,0,0,0,3,5,3,4,4,3,0,0,0,27,17,9,10,7,4,5,3,9,4,67,332,395,295,198,229,87,56,152,28,1764
LGA17750,118,28,417,188,128,132,28,129,8,1172,3,8,3,7,0,3,3,10,0,41,38,40,29,40,34,16,26,16,4,247,55,44,81,67,51,58,42,79,45,524,2531,5412,3555,2505,2335,1116,718,1138,203,19512
