LGA_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
LGA16490,14664,41331,1581,2973,1238,2501,2819,5475,945,1550,490,820,933,1624,8,24,2374,4027,14,20,35,63,21,51,30,68,94,204,77,177,20023,51208,2447,..,22470,51208
LGA16550,13319,42023,3396,8905,4912,14418,8305,23320,5616,11925,13773,28221,8645,18555,75,155,28104,58851,0,3,3,8,0,0,449,1076,452,1088,194,440,50374,125727,4403,..,54776,125727
LGA16610,7179,18495,334,551,149,297,479,852,631,1029,0,0,0,0,0,4,637,1032,150,242,29,54,3,6,33,78,217,381,30,68,8549,20820,843,..,9390,20820
LGA16650,16052,50264,3414,8011,2045,5778,5457,13785,1294,2674,3808,8628,10766,26400,91,212,15957,37909,62,84,0,0,0,0,270,691,334,777,150,325,37956,103069,3079,..,41033,103069
LGA16700,19528,61407,2584,6353,4153,10406,6739,16764,1341,2562,6673,13954,6643,14976,22,53,14676,31542,8,12,5,10,0,9,102,234,115,265,203,471,41267,110452,3136,..,44405,110452
LGA16900,18944,55314,1656,3071,1642,3508,3305,6582,912,1593,5,10,4,9,4,8,931,1617,53,67,250,366,0,0,45,101,351,534,112,215,23643,64262,1698,..,25336,64262
LGA16950,33364,81465,1981,3127,608,997,2585,4117,921,1462,22,34,0,5,11,17,963,1511,220,358,713,1100,16,37,48,101,1002,1592,277,597,38187,89287,13455,..,51639,89287
LGA17000,6790,18889,375,740,182,310,558,1050,270,422,0,3,4,3,0,0,269,426,44,62,10,18,15,18,3,14,63,108,53,112,7741,20589,972,..,8706,20589
LGA17040,6402,15634,172,314,177,373,342,684,332,645,50,126,27,72,4,3,414,850,19,33,55,100,11,25,25,45,111,204,244,495,7518,17869,2393,..,9909,17869
LGA17080,5033,12042,105,134,27,35,135,176,149,218,0,4,0,0,0,0,153,221,17,38,11,15,0,3,4,6,32,67,41,89,5388,12595,1037,..,6424,12595
LGA17100,5299,17807,148,388,660,1973,808,2362,1137,2821,2099,5512,3079,8676,3,3,6316,17014,0,0,0,0,0,0,132,403,132,403,116,285,12674,37869,915,..,13588,37869
LGA17150,48705,150607,2454,5129,7914,18685,10368,23813,3625,6373,8545,16411,4526,8559,23,41,16718,31383,62,105,118,200,3,3,186,404,367,708,199,453,76356,206970,5284,..,81640,206970
LGA17200,1717,4756,3400,7464,13434,32939,16835,40397,2612,4540,8935,16050,54303,108358,32,70,65879,129014,3,4,8,18,41,49,369,788,416,855,574,1093,85423,176130,11496,..,96925,176130
LGA17310,18918,48771,1482,2294,345,562,1830,2860,399,617,24,32,13,26,3,7,441,677,75,136,36,71,15,26,296,791,417,1026,139,367,21752,53699,2580,..,24329,53699
LGA17350,2149,5302,40,71,0,0,40,71,118,154,0,0,0,0,0,0,118,154,9,9,0,0,3,4,15,27,23,41,14,41,2344,5594,348,..,2694,5594
LGA17400,2536,5605,51,69,0,0,51,69,36,52,0,0,0,0,0,0,36,52,4,13,12,29,4,10,13,32,43,72,19,25,2682,5830,640,..,3322,5830
LGA17420,39414,131311,962,1779,4617,13520,5577,15296,636,1320,891,2005,1092,2456,19,48,2636,5835,23,38,21,41,11,29,25,65,72,177,134,361,47836,152976,2723,..,50560,152976
LGA17550,22929,61392,4243,7957,2248,4744,6489,12703,2051,3396,1368,2484,751,1337,5,14,4180,7229,635,941,489,775,42,89,42,110,1211,1914,282,561,35089,83792,4208,..,39298,83792
LGA17620,4698,11760,92,162,0,0,92,162,246,367,0,0,0,0,0,0,242,370,17,28,44,57,4,7,10,11,75,101,48,121,5161,12516,862,..,6029,12516
LGA17640,2763,6595,66,85,7,9,73,94,3,9,0,0,0,0,0,0,3,9,14,18,4,12,14,36,14,30,46,101,26,70,2912,6865,1125,..,4037,6865
LGA17650,2191,5357,10,21,0,3,15,21,34,45,0,0,0,0,0,0,34,45,8,13,10,10,0,8,11,25,28,49,11,30,2281,5509,297,..,2582,5509
